gamingresort,casinocode,departingat,arrivingat,departingairport
SILVER LEGACY RENO NV,TRW,11/17/22,11/20/22,IDA
SILVER LEGACY RENO NV,TRW,11/17/22,11/20/22,MSP
SILVER LEGACY RENO NV,TRW,11/17/22,11/20/22,STS
SILVER LEGACY RENO NV,TRW,11/17/22,11/22/22,SDF
SILVER LEGACY RENO NV,TRW,11/17/2022,11/21/2022,CRP
SILVER LEGACY RENO NV,TRW,11/18/22,11/21/22,BOI
SILVER LEGACY RENO NV,TRW,11/18/22,11/21/22,EUG
SILVER LEGACY RENO NV,TRW,11/18/22,11/20/22,LAS
SILVER LEGACY RENO NV,TRW,11/18/22,11/20/22,LGB
SILVER LEGACY RENO NV,TRW,11/18/22,11/21/22,LAX
SILVER LEGACY RENO NV,TRW,11/18/22,11/20/22,OAK
SILVER LEGACY RENO NV,TRW,11/18/22,11/21/22,ONT
SILVER LEGACY RENO NV,TRW,11/18/22,11/21/22,PSP
SILVER LEGACY RENO NV,TRW,11/18/22,11/21/22,PSC
SILVER LEGACY RENO NV,TRW,11/18/22,11/20/22,SAN
SILVER LEGACY RENO NV,TRW,11/18/22,11/20/22,SJC
SILVER LEGACY RENO NV,TRW,11/18/22,11/21/22,GEG
SILVER LEGACY RENO NV,TRW,11/18/22,11/21/22,DEN
SILVER LEGACY RENO NV,TRW,11/19/22,11/24/22,JFK
SILVER LEGACY RENO NV,TRW,11/19/2022,11/23/2022,LIT
SILVER LEGACY RENO NV,TRW,11/19/2022,11/23/2022,FNL
SILVER LEGACY RENO NV,TRW,11/20/22,11/24/22,IDA
SILVER LEGACY RENO NV,TRW,11/20/22,11/24/22,STS
SILVER LEGACY RENO NV,TRW,11/20/22,11/24/22,AUS
SILVER LEGACY RENO NV,TRW,11/21/22,11/25/22,BOI
SILVER LEGACY RENO NV,TRW,11/21/22,11/25/22,EUG
SILVER LEGACY RENO NV,TRW,11/21/22,11/25/22,ONT
SILVER LEGACY RENO NV,TRW,11/21/22,11/25/22,PSP
SILVER LEGACY RENO NV,TRW,11/21/22,11/25/22,PSC
SILVER LEGACY RENO NV,TRW,11/21/22,11/25/22,GEG
SILVER LEGACY RENO NV,TRW,11/21/22,11/25/22,OKC
SILVER LEGACY RENO NV,TRW,11/21/2022,11/25/2022,ACT
SILVER LEGACY RENO NV,TRW,11/21/2022,11/25/2022,MAF
SILVER LEGACY RENO NV,TRW,11/22/22,11/26/22,DFW
SILVER LEGACY RENO NV,TRW,11/23/22,11/28/22,IND
SILVER LEGACY RENO NV,TRW,11/23/2022,11/27/2022,LEX
SILVER LEGACY RENO NV,TRW,11/24/22,11/27/22,IDA
SILVER LEGACY RENO NV,TRW,11/24/22,11/27/22,STS
SILVER LEGACY RENO NV,TRW,11/24/22,11/29/22,ATL
SILVER LEGACY RENO NV,TRW,11/24/22,11/28/22,OMA
SILVER LEGACY RENO NV,TRW,11/25/22,11/28/22,BOI
SILVER LEGACY RENO NV,TRW,11/25/22,11/28/22,EUG
SILVER LEGACY RENO NV,TRW,11/25/22,11/27/22,LAS
SILVER LEGACY RENO NV,TRW,11/25/22,11/27/22,LGB
SILVER LEGACY RENO NV,TRW,11/25/22,11/27/22,LAX
SILVER LEGACY RENO NV,TRW,11/25/22,11/27/22,OAK
SILVER LEGACY RENO NV,TRW,11/25/22,11/28/22,ONT
SILVER LEGACY RENO NV,TRW,11/25/22,11/28/22,PSP
SILVER LEGACY RENO NV,TRW,11/25/22,11/28/22,PSC
SILVER LEGACY RENO NV,TRW,11/25/22,11/28/22,SAN
SILVER LEGACY RENO NV,TRW,11/25/22,11/27/22,SJC
SILVER LEGACY RENO NV,TRW,11/25/22,11/28/22,GEG
SILVER LEGACY RENO NV,TRW,11/25/22,11/30/22,CLT
SILVER LEGACY RENO NV,TRW,11/25/22,11/30/22,ORD
SILVER LEGACY RENO NV,TRW,11/25/22,11/28/22,DEN
